iter	Passed	Remaining
401	20322	30231
402	20363	30166
403	20431	30142
404	20485	30095
405	20539	30050
406	20583	29989
407	20626	29927
408	20692	29900
409	20755	29868
410	20819	29835
411	20868	29783
412	20908	29716
413	20961	29670
414	21020	29631
415	21090	29607
416	21140	29555
417	21188	29502
418	21242	29455
419	21304	29420
420	21364	29382
421	21425	29345
422	21480	29300
423	21529	29247
424	21592	29213
425	21638	29156
426	21690	29107
427	21742	29058
428	21807	29025
429	21860	28978
430	21916	28934
431	21962	28876
432	22022	28837
433	22072	28785
434	22114	28723
435	22178	28689
436	22232	28642
437	22283	28592
438	22322	28526
439	22377	28480
440	22430	28432
441	22484	28385
442	22542	28343
443	22594	28294
444	22650	28249
445	22694	28190
446	22750	28145
447	22792	28084
448	22842	28032
449	22898	27987
450	22946	27932
451	22992	27875
452	23050	27833
453	23097	27778
454	23154	27735
455	23205	27683
456	23263	27641
457	23331	27610
458	23389	27567
459	23447	27525
460	23500	27476
461	23575	27453
462	23622	27397
463	23677	27351
464	23734	27306
465	23789	27260
466	23844	27214
467	23891	27158
468	23945	27110
469	24005	27069
470	24048	27010
471	24092	26950
472	24159	26917
473	24210	26866
474	24263	26817
475	24316	26768
476	24379	26730
477	24438	26687
478	24499	26647
479	24557	26603
480	24620	26565
481	24685	26528
482	24739	26480
483	24796	26436
484	24859	26397
485	24911	26346
486	24961	26294
487	25015	26245
488	25077	26205
489	25135	26161
490	25185	26108
491	25240	26060
492	25297	26015
493	25352	25968
494	25415	25929
495	25471	25882
496	25517	25825
497	25559	25764
498	25617	25720
499	25665	25665
500	25726	25623
501	25769	25563
502	25821	25513
503	25870	25460
504	25935	25422
505	26001	25384
506	26050	25331
507	26101	25279
508	26165	25240
509	26218	25190
510	26291	25159
511	26343	25109
512	26390	25053
513	26444	25004
514	26503	24959
515	26560	24913
516	26628	24877
517	26685	24831
518	26738	24780
519	26785	24724
520	26855	24690
521	26916	24647
522	26966	24594
523	27015	24540
524	27067	24489
525	27131	24449
526	27195	24408
527	27239	24350
528	27301	24308
529	27366	24268
530	27432	24229
531	27494	24187
532	27548	24137
533	27590	24076
534	27649	24031
535	27712	23989
536	27766	23939
537	27827	23896
538	27873	23840
539	27950	23810
540	28009	23764
541	28057	23709
542	28115	23662
543	28186	23626
544	28251	23586
545	28327	23554
546	28383	23505
547	28440	23458
548	28498	23411
549	28555	23363
550	28628	23329
551	28684	23279
552	28748	23237
553	28807	23191
554	28866	23145
555	28925	23098
556	28967	23038
557	29020	22987
558	29073	22936
559	29127	22885
560	29207	22855
561	29268	22810
562	29335	22769
563	29376	22709
564	29444	22669
565	29508	22626
566	29562	22576
567	29618	22526
568	29686	22486
569	29748	22442
570	29800	22389
571	29861	22343
572	29898	22280
573	29944	22223
574	29986	22164
575	30033	22108
576	30093	22061
577	30147	22010
578	30202	21960
579	30260	21913
580	30322	21867
581	30375	21815
582	30437	21770
583	30481	21712
584	30550	21672
585	30608	21624
586	30677	21584
587	30739	21538
588	30801	21493
589	30863	21447
590	30911	21392
591	30973	21346
592	31033	21299
593	31096	21254
594	31149	21202
595	31207	21154
596	31270	21108
597	31328	21060
598	31385	21010
599	31446	20964
600	31499	20912
601	31554	20861
602	31597	20802
603	31641	20745
