iter	RMSE
314	1856.65078
315	1856.243796
316	1855.910179
317	1855.338647
318	1855.196159
319	1854.684281
320	1854.370461
321	1854.235874
322	1854.030562
323	1853.85336
324	1853.715545
325	1853.369959
326	1852.961588
327	1852.83513
328	1852.766758
329	1852.160494
330	1851.786475
331	1851.651375
332	1851.403457
333	1850.980981
334	1850.803713
335	1850.675639
336	1850.306194
337	1849.787572
338	1849.375053
339	1849.011432
340	1848.912611
341	1848.660411
342	1848.42354
343	1848.228249
344	1847.723335
345	1847.431972
346	1846.958324
347	1846.73887
348	1846.506918
349	1846.350802
350	1846.278152
351	1846.050626
352	1845.832199
353	1845.595767
354	1845.27453
355	1845.004324
356	1844.736415
357	1844.452472
358	1844.240643
359	1843.999004
360	1843.863436
361	1843.640866
362	1843.560524
363	1843.296703
364	1842.960383
365	1842.894632
366	1842.434268
367	1842.22174
368	1841.906585
369	1841.433249
370	1840.927165
371	1840.856352
372	1840.356143
373	1840.046485
374	1839.774062
375	1839.454092
376	1839.094108
377	1838.746882
378	1838.260767
379	1837.999093
380	1837.784073
381	1837.631597
382	1837.516662
383	1837.330417
384	1837.109617
385	1836.928776
386	1836.61599
387	1836.366827
388	1836.05095
389	1835.689135
390	1835.395913
391	1835.093495
392	1834.473229
393	1834.102925
394	1833.815176
395	1833.434942
396	1833.203528
397	1832.663552
398	1832.303433
399	1832.069154
400	1831.873058
401	1831.484685
402	1831.071478
403	1830.869056
404	1830.815108
405	1830.537382
406	1830.27541
407	1830.032973
408	1829.765861
409	1829.4583
410	1829.353312
411	1829.179907
412	1829.01075
413	1828.87498
414	1828.808385
415	1828.625817
416	1828.457894
417	1828.341927
418	1828.13202
419	1827.813263
420	1827.483138
421	1827.36313
422	1827.286065
423	1827.060968
424	1826.966481
425	1826.682832
426	1826.534177
427	1826.3137
428	1826.155802
429	1825.985023
430	1825.827471
431	1825.579862
432	1825.448083
433	1825.202034
434	1824.805101
435	1824.729416
436	1824.471583
437	1824.267205
438	1824.065964
439	1823.890798
440	1823.654629
441	1823.621609
442	1823.387909
443	1823.080279
444	1822.92765
445	1822.623986
446	1822.469029
447	1822.290119
448	1822.110412
449	1821.879392
450	1821.59744
451	1821.247825
452	1821.025886
453	1820.736803
454	1820.398478
455	1820.122062
456	1819.893404
457	1819.814675
458	1819.632776
459	1819.316192
460	1819.089468
461	1819.062037
462	1818.949807
463	1818.79496
464	1818.654607
465	1818.552453
466	1818.407154
467	1818.289336
468	1818.196037
469	1817.90821
470	1817.784981
471	1817.68289
472	1817.589296
473	1817.517245
474	1817.296662
475	1817.184467
476	1817.054002
477	1816.719084
478	1816.676186
479	1816.638267
480	1816.516659
481	1816.422167
482	1816.270262
483	1816.053084
484	1815.941653
485	1815.711235
486	1815.43218
487	1815.396212
488	1815.196231
489	1814.788517
490	1814.607987
491	1814.49881
492	1814.382618
493	1814.089987
494	1813.917869
495	1813.566646
496	1813.235611
497	1812.960962
498	1812.699617
499	1812.542699
500	1812.330199
501	1812.160488
502	1811.974292
503	1811.6663
504	1811.567395
505	1811.417169
506	1811.319985
507	1811.080736
508	1810.839066
509	1810.704737
510	1810.534987
511	1810.233232
512	1809.77006
513	1809.595428
514	1809.576185
515	1809.412059
516	1809.351349
517	1809.244577
518	1808.811351
519	1808.470137
520	1808.348877
521	1808.175843
522	1807.940184
523	1807.802355
524	1807.476687
525	1807.367656
526	1807.089959
527	1806.873244
528	1806.738517
529	1806.645187
530	1806.566933
531	1806.391004
532	1805.998426
533	1805.59836
534	1805.459644
535	1805.216637
536	1805.010811
537	1804.788647
538	1804.552868
539	1804.369221
540	1804.208326
541	1803.930899
542	1803.716722
543	1803.650756
544	1803.511378
545	1803.40858
546	1803.271571
547	1803.042254
548	1802.786887
549	1802.621702
550	1802.508989
551	1802.314158
552	1802.203667
553	1802.128135
554	1801.953064
555	1801.799778
556	1801.611181
557	1801.491653
558	1801.274664
559	1800.964118
560	1800.851796
561	1800.636897
562	1800.521386
563	1800.25576
564	1800.197888
565	1799.848619
566	1799.649552
567	1799.550543
568	1799.455667
569	1799.29148
570	1799.194711
571	1799.055022
572	1798.848325
573	1798.648766
574	1798.638899
575	1798.584849
576	1798.515629
577	1798.343755
578	1798.14009
579	1797.968007
580	1797.94479
581	1797.711422
582	1797.634737
583	1797.347564
584	1797.181469
585	1796.986378
586	1796.877359
587	1796.808136
588	1796.724905
589	1796.548801
590	1796.244501
591	1796.082811
592	1795.970637
593	1795.66376
594	1795.540878
595	1795.240272
596	1795.152292
597	1794.987211
598	1794.915954
599	1794.747518
600	1794.585507
601	1794.28449
602	1794.131456
603	1793.860262
604	1793.642514
605	1793.397408
606	1793.34451
607	1793.255386
608	1793.123345
609	1793.000384
610	1792.842781
611	1792.762848
612	1792.608482
613	1792.323652
614	1792.157697
615	1792.020161
616	1791.942583
617	1791.826813
618	1791.60478
619	1791.372373
620	1791.304348
621	1791.08952
622	1790.822419
623	1790.657338
624	1790.548976
625	1790.461065
626	1790.310299
627	1790.183111
628	1790.102833
629	1790.04213
630	1789.865801
631	1789.673903
632	1789.551995
633	1789.44798
634	1789.278908
635	1789.216298
636	1789.105427
637	1788.978179
638	1788.867055
639	1788.718516
640	1788.681979
641	1788.459785
642	1788.296068
643	1788.097465
644	1787.982093
645	1787.880468
646	1787.68294
647	1787.540418
648	1787.413154
649	1787.30687
650	1787.107797
651	1786.993248
652	1786.89383
653	1786.650094
654	1786.525096
655	1786.425906
656	1786.352002
657	1786.195083
658	1785.972746
659	1785.873747
660	1785.723925
661	1785.525267
662	1785.43436
663	1785.235006
664	1785.174244
665	1785.034852
666	1784.972993
667	1784.804362
668	1784.61992
669	1784.563159
670	1784.33192
671	1784.190197
672	1784.099532
673	1784.004201
674	1783.805725
675	1783.612578
676	1783.463772
677	1783.35174
678	1783.269856
679	1783.193734
680	1783.080893
681	1782.907275
682	1782.783187
683	1782.674536
684	1782.660176
685	1782.399659
686	1782.240257
687	1782.075907
688	1781.813572
689	1781.61855
690	1781.554917
691	1781.428897
692	1781.353796
693	1781.247882
694	1781.146284
695	1780.991434
696	1780.854537
697	1780.68582
698	1780.518338
699	1780.408014
700	1780.303064
701	1780.216332
702	1780.183744
703	1780.001938
704	1779.867189
705	1779.685326
706	1779.581636
707	1779.535099
708	1779.47993
709	1779.440697
710	1779.39629
711	1779.27964
712	1779.234697
713	1778.98232
714	1778.873156
715	1778.645163
716	1778.58273
717	1778.369322
718	1778.214497
719	1778.127665
720	1778.027825
721	1777.795955
722	1777.736668
723	1777.596277
724	1777.50196
725	1777.370484
726	1777.26293
727	1777.183492
728	1776.931748
729	1776.814011
730	1776.732403
731	1776.546604
732	1776.392239
733	1776.258555
734	1775.99279
735	1775.964017
736	1775.653337
737	1775.54699
738	1775.53778
739	1775.344474
740	1775.308296
741	1775.250155
742	1775.203539
743	1774.983356
744	1774.831783
745	1774.69166
746	1774.575683
747	1774.543875
748	1774.339315
749	1774.19202
750	1774.053737
751	1773.821573
752	1773.820441
753	1773.74285
754	1773.627396
755	1773.519094
756	1773.435081
757	1773.323506
758	1773.301263
759	1773.013328
760	1772.86639
761	1772.746965
762	1772.497835
763	1772.357383
764	1772.239018
765	1772.09655
766	1772.072288
767	1771.898839
768	1771.749749
769	1771.600271
770	1771.44129
771	1771.258638
772	1771.155045
773	1771.151401
774	1771.105131
775	1771.071592
776	1770.877943
777	1770.653145
778	1770.523644
779	1770.348835
780	1770.324236
781	1770.129761
782	1769.984905
783	1769.844723
784	1769.707697
785	1769.545995
786	1769.404734
787	1769.166148
788	1768.918835
789	1768.840907
790	1768.707975
791	1768.492338
792	1768.345981
793	1768.213876
794	1768.063317
795	1768.051445
796	1767.862729
797	1767.831872
798	1767.659991
799	1767.629544
800	1767.457495
801	1767.301988
802	1767.156509
803	1766.915002
804	1766.689673
805	1766.575774
806	1766.470265
807	1766.334688
808	1766.109249
809	1765.972605
810	1765.903606
811	1765.725239
812	1765.571017
813	1765.48419
814	1765.329142
815	1765.246743
816	1765.119257
817	1765.075525
818	1764.938248
819	1764.843501
820	1764.69669
821	1764.548056
822	1764.439938
823	1764.230645
824	1764.111025
825	1763.915934
826	1763.726129
827	1763.614444
828	1763.47526
829	1763.312368
830	1763.136027
831	1763.069517
832	1762.971678
833	1762.840726
834	1762.724893
835	1762.495932
836	1762.3891
837	1762.386428
838	1762.249077
839	1762.184451
840	1762.063608
841	1761.856251
842	1761.662907
843	1761.576711
844	1761.444304
845	1761.328045
846	1761.218138
847	1761.136592
848	1760.934595
849	1760.911994
850	1760.814212
851	1760.676629
852	1760.581053
853	1760.473912
854	1760.442672
855	1760.333861
856	1760.151194
857	1760.040266
858	1760.02039
859	1759.917712
860	1759.813371
861	1759.764433
862	1759.593778
863	1759.402669
864	1759.285092
865	1759.260797
866	1759.06683
867	1758.875898
868	1758.855527
869	1758.703334
870	1758.558568
871	1758.331094
872	1758.172678
873	1758.054553
874	1757.97366
875	1757.804761
876	1757.803944
877	1757.77331
878	1757.530048
879	1757.448945
880	1757.277652
881	1757.107514
882	1757.002646
883	1756.992378
884	1756.916172
885	1756.763696
886	1756.525947
887	1756.458523
888	1756.335001
889	1756.277918
890	1756.209809
891	1756.074351
892	1755.896086
893	1755.865547
894	1755.810566
895	1755.791108
896	1755.697941
897	1755.552073
898	1755.437294
899	1755.380481
900	1755.223585
901	1755.085692
902	1755.034051
903	1755.014451
904	1754.965951
905	1754.668575
906	1754.625215
907	1754.489345
908	1754.393082
909	1754.251823
910	1754.16278
911	1754.10297
912	1754.013585
913	1753.919678
914	1753.800441
915	1753.715664
916	1753.589771
917	1753.480721
918	1753.398484
919	1753.27183
920	1753.210539
921	1753.085121
922	1752.945
923	1752.803383
924	1752.733621
925	1752.664585
926	1752.574623
927	1752.469565
928	1752.278639
929	1752.119959
930	1752.018469
931	1751.87255
932	1751.841609
933	1751.794435
934	1751.716831
935	1751.709983
936	1751.507567
937	1751.364359
938	1751.184451
939	1751.005866
940	1750.958947
941	1750.886437
942	1750.591301
943	1750.388931
944	1750.305765
945	1750.199421
946	1750.192291
947	1750.107343
948	1750.044638
949	1749.975039
950	1749.836624
951	1749.679063
952	1749.607493
953	1749.566088
954	1749.428142
955	1749.326676
956	1749.212099
957	1749.202979
958	1749.150893
959	1748.987391
960	1748.950055
961	1748.868841
962	1748.7834
963	1748.762058
964	1748.632085
965	1748.480141
966	1748.434464
967	1748.385397
968	1748.253388
969	1748.1028
970	1747.991184
971	1747.896002
972	1747.821595
973	1747.728417
974	1747.608896
975	1747.588853
976	1747.484413
977	1747.297307
978	1747.176902
979	1747.10985
980	1747.070514
981	1747.027339
982	1746.884613
983	1746.836056
984	1746.774171
985	1746.757054
986	1746.73045
987	1746.658251
988	1746.401766
989	1746.275755
990	1746.205438
991	1746.077397
992	1745.886615
993	1745.832785
994	1745.810125
995	1745.68307
996	1745.629125
997	1745.563142
998	1745.522127
999	1745.398604
